id_student;date;studied_credits;final_result;gender_F;highest_education_A Level or Equivalent;highest_education_HE Qualification;highest_education_Lower Than A Level;highest_education_No Formal quals;highest_education_Post Graduate Qualification;age_band_0-35;age_band_35-55;age_band_55<=;disability_N
151358;269;150;0;1;1;0;0;0;0;1;0;0;1
155550;269;420;0;0;1;0;0;0;0;0;1;0;1
155854;269;60;0;1;1;0;0;0;0;0;1;0;1
155984;187;60;1;1;0;0;1;0;0;1;0;0;1
157568;269;60;0;1;1;0;0;0;0;1;0;0;1
159954;116;60;1;0;1;0;0;0;0;0;1;0;1
164259;269;60;0;0;1;0;0;0;0;1;0;0;1
167906;269;60;0;1;1;0;0;0;0;0;1;0;1
168936;269;60;0;1;0;0;1;0;0;0;1;0;1
172112;269;60;0;0;0;1;0;0;0;0;1;0;1
172797;269;60;0;1;1;0;0;0;0;0;1;0;1
174782;269;60;0;0;0;1;0;0;0;0;0;1;1
175392;269;60;0;0;0;1;0;0;0;0;1;0;1
175932;269;60;0;0;0;1;0;0;0;0;1;0;1
175991;269;180;0;1;1;0;0;0;0;1;0;0;1
180753;269;120;0;0;1;0;0;0;0;1;0;0;1
181316;66;120;1;1;1;0;0;0;0;0;1;0;1
183096;269;60;0;1;1;0;0;0;0;1;0;0;1
183947;269;180;0;0;1;0;0;0;0;1;0;0;1
184271;269;170;0;0;0;1;0;0;0;0;1;0;1
185439;269;120;0;0;0;1;0;0;0;1;0;0;1
186149;269;60;0;0;0;1;0;0;0;0;1;0;1
187100;269;60;0;0;1;0;0;0;0;0;1;0;1
188278;60;120;1;0;1;0;0;0;0;0;1;0;1
189879;269;120;0;0;1;0;0;0;0;1;0;0;1
192183;269;60;0;1;0;0;1;0;0;1;0;0;1
195262;183;60;1;0;1;0;0;0;0;1;0;0;1
200860;269;60;0;0;0;0;1;0;0;0;1;0;1
202635;143;60;1;1;1;0;0;0;0;1;0;0;1
205350;269;60;0;0;0;1;0;0;0;0;1;0;1
205719;269;90;0;0;1;0;0;0;0;1;0;0;0
227499;269;60;0;1;1;0;0;0;0;0;1;0;1
227517;269;180;0;0;0;1;0;0;0;1;0;0;1
228082;269;60;0;0;0;1;0;0;0;1;0;0;1
228222;269;60;0;0;0;0;1;0;0;1;0;0;1
229179;269;60;0;0;1;0;0;0;0;1;0;0;1
229361;269;60;0;0;1;0;0;0;0;1;0;0;1
231554;269;240;0;0;1;0;0;0;0;1;0;0;1
235507;46;240;1;0;1;0;0;0;0;1;0;0;1
236284;269;60;0;0;0;0;0;0;1;1;0;0;1
238007;269;60;0;0;0;1;0;0;0;0;0;1;1
240712;269;80;0;0;0;1;0;0;0;1;0;0;1
240884;269;120;0;0;1;0;0;0;0;1;0;0;1
241649;269;60;0;0;0;1;0;0;0;0;1;0;1
241729;269;60;0;1;0;1;0;0;0;0;1;0;1
242793;269;60;0;0;0;1;0;0;0;0;1;0;1
246834;269;60;0;0;1;0;0;0;0;0;1;0;1
248270;269;90;0;0;0;0;1;0;0;1;0;0;1
255548;269;60;0;0;0;0;1;0;0;0;1;0;1
256815;269;120;0;0;0;1;0;0;0;1;0;0;1
258392;269;60;0;1;0;0;1;0;0;1;0;0;1
258894;269;60;0;1;0;0;1;0;0;0;1;0;1
260355;163;60;1;1;1;0;0;0;0;0;1;0;1
262011;269;60;0;0;1;0;0;0;0;0;1;0;1
262934;269;60;0;1;1;0;0;0;0;0;1;0;1
268073;269;90;0;0;1;0;0;0;0;0;1;0;1
268733;185;180;1;0;1;0;0;0;0;1;0;0;1
271251;269;60;0;0;1;0;0;0;0;0;1;0;1
277880;177;60;1;1;1;0;0;0;0;1;0;0;1
279572;269;60;0;0;0;0;1;0;0;1;0;0;1
281022;269;150;0;1;1;0;0;0;0;1;0;0;1
281250;269;60;0;0;0;0;1;0;0;0;1;0;1
281589;269;60;0;0;0;1;0;0;0;1;0;0;1
282821;269;60;0;0;1;0;0;0;0;0;1;0;1
286488;269;60;0;0;1;0;0;0;0;0;1;0;1
287548;269;120;0;0;1;0;0;0;0;1;0;0;1
290201;269;60;0;0;1;0;0;0;0;1;0;0;1
290757;269;60;0;0;1;0;0;0;0;1;0;0;1
291334;269;60;0;0;1;0;0;0;0;0;1;0;1
292923;0;180;1;1;1;0;0;0;0;0;1;0;1
293699;269;120;0;0;1;0;0;0;0;1;0;0;1
294570;269;60;0;0;0;1;0;0;0;0;0;1;1
294594;269;60;0;0;1;0;0;0;0;1;0;0;1
295741;269;240;0;0;1;0;0;0;0;0;1;0;1
296332;269;60;0;0;0;0;0;0;1;0;0;1;1
298696;269;60;0;1;0;1;0;0;0;1;0;0;1
300398;269;60;0;0;1;0;0;0;0;0;1;0;1
302302;269;60;0;1;1;0;0;0;0;1;0;0;1
305152;269;60;0;0;1;0;0;0;0;1;0;0;1
305386;269;120;0;0;1;0;0;0;0;1;0;0;0
305539;0;120;1;1;0;0;1;0;0;1;0;0;1
306107;269;120;0;0;1;0;0;0;0;0;1;0;1
306466;269;60;0;0;1;0;0;0;0;0;1;0;1
306897;269;60;0;1;1;0;0;0;0;1;0;0;1
307061;269;60;0;1;0;1;0;0;0;1;0;0;1
307866;269;60;0;0;1;0;0;0;0;1;0;0;1
311917;269;120;0;0;1;0;0;0;0;0;0;1;1
312537;269;60;0;0;0;0;0;0;1;0;0;1;1
312782;269;60;0;0;1;0;0;0;0;1;0;0;1
318933;269;120;0;1;0;1;0;0;0;1;0;0;1
319047;269;60;0;1;1;0;0;0;0;1;0;0;1
321942;269;60;0;0;0;1;0;0;0;0;0;1;1
324002;269;60;0;0;0;1;0;0;0;0;1;0;1
324084;269;60;0;1;1;0;0;0;0;0;1;0;1
324282;269;120;0;0;1;0;0;0;0;1;0;0;1
331358;52;60;1;1;0;1;0;0;0;0;1;0;1
332789;269;60;0;1;1;0;0;0;0;0;1;0;1
333059;269;120;0;0;1;0;0;0;0;1;0;0;1
333323;269;60;0;0;0;1;0;0;0;1;0;0;1
334259;269;150;0;1;1;0;0;0;0;1;0;0;1
334333;63;240;1;1;1;0;0;0;0;1;0;0;0
335764;160;60;1;1;1;0;0;0;0;1;0;0;1
336207;269;120;0;0;1;0;0;0;0;1;0;0;1
339972;269;60;0;0;1;0;0;0;0;1;0;0;1
341872;269;180;0;0;0;0;1;0;0;1;0;0;1
342007;51;60;1;1;0;1;0;0;0;1;0;0;1
342514;269;60;0;0;0;0;1;0;0;0;0;1;1
342972;269;60;0;0;0;1;0;0;0;1;0;0;1
343446;269;120;0;0;0;1;0;0;0;0;1;0;1
344282;269;60;0;0;1;0;0;0;0;1;0;0;1
345068;269;180;0;0;1;0;0;0;0;1;0;0;0
345357;269;60;0;0;1;0;0;0;0;1;0;0;1
346025;269;120;0;0;1;0;0;0;0;1;0;0;1
346843;269;120;0;1;0;1;0;0;0;0;1;0;1
350188;269;60;0;0;0;1;0;0;0;0;1;0;1
354858;1;120;1;0;0;1;0;0;0;0;1;0;1
357668;269;60;0;0;1;0;0;0;0;1;0;0;1
364177;269;60;0;0;0;0;1;0;0;0;1;0;1
365244;269;120;0;1;1;0;0;0;0;1;0;0;1
365642;269;60;0;0;0;0;1;0;0;0;1;0;1
366483;269;60;0;0;0;1;0;0;0;1;0;0;1
368194;269;120;0;1;1;0;0;0;0;1;0;0;0
368824;269;120;0;0;0;1;0;0;0;0;1;0;1
368963;269;180;0;0;0;0;1;0;0;1;0;0;1
376439;269;60;0;0;0;1;0;0;0;1;0;0;1
376581;269;60;0;1;1;0;0;0;0;0;1;0;1
380953;269;60;0;0;1;0;0;0;0;1;0;0;1
383254;269;120;0;0;1;0;0;0;0;1;0;0;1
386924;269;120;0;0;0;0;1;0;0;1;0;0;1
386952;269;120;0;0;1;0;0;0;0;1;0;0;1
388722;269;60;0;1;0;0;1;0;0;0;1;0;1
388885;269;60;0;0;1;0;0;0;0;0;1;0;1
390890;195;90;1;0;1;0;0;0;0;1;0;0;1
392756;269;120;0;0;1;0;0;0;0;1;0;0;1
392931;269;120;0;1;1;0;0;0;0;0;1;0;1
393207;269;60;0;0;1;0;0;0;0;1;0;0;1
396872;269;180;0;0;0;1;0;0;0;1;0;0;1
398552;269;240;0;0;0;0;1;0;0;1;0;0;1
401869;269;60;0;1;0;0;1;0;0;1;0;0;1
402470;269;60;0;0;0;0;1;0;0;0;1;0;1
404804;269;120;0;0;0;0;1;0;0;0;1;0;1
405088;269;120;0;0;1;0;0;0;0;1;0;0;1
405961;0;240;1;0;1;0;0;0;0;1;0;0;0
414117;269;120;0;0;1;0;0;0;0;1;0;0;1
415969;156;90;1;0;0;1;0;0;0;0;1;0;1
420087;269;60;0;0;1;0;0;0;0;1;0;0;0
429958;269;60;0;1;1;0;0;0;0;1;0;0;1
441018;269;150;0;1;1;0;0;0;0;1;0;0;1
441888;269;120;0;0;1;0;0;0;0;1;0;0;1
442442;163;120;1;0;0;1;0;0;0;1;0;0;1
444677;269;60;0;0;0;1;0;0;0;1;0;0;1
470588;63;60;1;0;0;1;0;0;0;0;1;0;1
489455;269;60;0;1;1;0;0;0;0;1;0;0;1
494424;269;60;0;1;1;0;0;0;0;1;0;0;1
495284;269;120;0;0;0;1;0;0;0;1;0;0;1
498857;269;60;0;0;0;1;0;0;0;0;1;0;1
508818;269;120;0;0;1;0;0;0;0;1;0;0;1
512460;269;120;0;0;0;1;0;0;0;1;0;0;1
544103;269;120;0;0;0;1;0;0;0;1;0;0;1
550383;269;60;0;0;0;1;0;0;0;1;0;0;1
564450;269;120;0;0;0;1;0;0;0;1;0;0;1
568601;123;60;1;1;0;1;0;0;0;1;0;0;1
572652;269;120;0;0;0;1;0;0;0;1;0;0;1
580389;269;120;0;0;0;1;0;0;0;1;0;0;1
581129;269;120;0;0;1;0;0;0;0;1;0;0;1
588775;269;120;0;0;1;0;0;0;0;1;0;0;1
591774;269;60;0;0;0;0;0;0;1;0;1;0;1
603861;208;60;1;0;0;1;0;0;0;0;0;1;1
606143;269;60;0;0;0;0;0;0;1;0;1;0;1
704156;269;120;0;0;0;1;0;0;0;0;0;1;1
705379;269;120;0;0;1;0;0;0;0;0;0;1;1
721259;20;120;1;1;0;0;1;0;0;0;0;1;1
749412;269;60;0;0;0;0;1;0;0;0;0;1;1
760729;269;60;0;0;1;0;0;0;0;0;0;1;1
905042;269;60;0;1;1;0;0;0;0;0;1;0;1
949618;269;60;0;1;1;0;0;0;0;0;1;0;1
958987;269;60;0;0;0;1;0;0;0;0;1;0;1
968578;269;60;0;1;1;0;0;0;0;0;1;0;1
969076;173;180;1;0;1;0;0;0;0;0;1;0;1
971027;269;60;0;1;0;1;0;0;0;0;1;0;1
978739;269;60;0;0;0;1;0;0;0;0;1;0;1
1035023;269;60;0;1;0;0;1;0;0;0;1;0;1
1105478;269;60;0;0;0;1;0;0;0;0;0;1;1
1352868;253;60;1;0;1;0;0;0;0;0;1;0;1
1401935;269;60;0;0;1;0;0;0;0;0;1;0;1
1402638;269;60;0;1;0;1;0;0;0;0;1;0;1
1414443;269;120;0;1;1;0;0;0;0;0;1;0;1
1456619;24;60;1;0;1;0;0;0;0;0;1;0;1
1465690;269;120;0;0;0;1;0;0;0;0;1;0;1
1472925;269;60;0;1;0;0;1;0;0;0;1;0;0
1488959;269;60;0;0;1;0;0;0;0;0;1;0;1
1518989;269;60;0;1;0;0;1;0;0;0;1;0;1
1618738;269;60;0;0;0;0;1;0;0;0;1;0;1
1620151;269;60;0;0;0;1;0;0;0;0;1;0;1
1626710;269;60;0;0;1;0;0;0;0;0;1;0;1
1640609;269;60;0;0;1;0;0;0;0;0;1;0;1
1686521;28;60;1;1;0;0;1;0;0;0;1;0;1
1729319;269;60;0;1;0;1;0;0;0;0;1;0;1
1746134;269;60;0;0;1;0;0;0;0;0;1;0;1
1758449;102;75;1;0;0;0;1;0;0;0;1;0;1
1763015;0;60;1;1;1;0;0;0;0;0;1;0;1
1765788;269;60;0;0;0;1;0;0;0;0;0;1;1
1801229;269;60;0;0;0;1;0;0;0;0;1;0;1
1801641;269;60;0;0;1;0;0;0;0;0;1;0;1
1847830;269;60;0;0;0;0;1;0;0;0;1;0;1
1860318;269;300;0;0;0;0;1;0;0;0;1;0;0
1889511;269;60;0;0;1;0;0;0;0;0;1;0;1
1889577;269;60;0;1;1;0;0;0;0;0;1;0;0
1894188;269;60;0;1;1;0;0;0;0;1;0;0;1
1938355;269;60;0;0;1;0;0;0;0;0;1;0;1
1942396;269;120;0;1;0;0;1;0;0;0;1;0;0
1970390;242;60;1;0;0;0;1;0;0;0;1;0;1
1976139;269;120;0;0;0;0;1;0;0;0;1;0;1
2011876;269;60;0;1;1;0;0;0;0;1;0;0;0
2012966;269;60;0;0;0;0;1;0;0;0;1;0;1
2051699;269;60;0;1;0;0;1;0;0;0;1;0;1
2062879;269;60;0;1;1;0;0;0;0;1;0;0;1
2065691;119;330;1;0;1;0;0;0;0;0;1;0;0
2073016;165;60;1;1;0;0;1;0;0;0;1;0;1
2080474;269;60;0;1;1;0;0;0;0;0;1;0;1
2083877;269;120;0;1;1;0;0;0;0;1;0;0;1
2084066;269;60;0;1;0;0;1;0;0;0;1;0;1
2104505;269;60;0;0;0;0;1;0;0;0;1;0;1
2122180;269;60;0;1;0;0;1;0;0;0;1;0;1
2139353;160;120;1;0;1;0;0;0;0;0;1;0;1
2143752;269;60;0;1;0;0;1;0;0;0;1;0;1
2146792;269;60;0;0;0;1;0;0;0;0;0;1;1
2149225;10;60;1;0;1;0;0;0;0;0;1;0;0
2153153;269;60;0;1;1;0;0;0;0;1;0;0;1
2155014;269;60;0;1;0;0;1;0;0;1;0;0;0
2164705;269;120;0;1;1;0;0;0;0;1;0;0;1
2171627;269;60;0;1;1;0;0;0;0;0;1;0;1
2182846;269;60;0;1;1;0;0;0;0;0;1;0;1
2194100;269;60;0;1;1;0;0;0;0;0;1;0;1
2197016;269;60;0;1;0;1;0;0;0;0;1;0;1
2208424;269;60;0;0;1;0;0;0;0;1;0;0;1
2229865;269;60;0;1;1;0;0;0;0;0;1;0;1
2255601;174;120;1;1;1;0;0;0;0;0;1;0;1
2268379;269;60;0;1;1;0;0;0;0;1;0;0;1
2278464;269;60;0;0;0;0;1;0;0;0;1;0;1
2293923;269;150;0;0;1;0;0;0;0;1;0;0;1
2312620;176;60;1;1;0;1;0;0;0;0;1;0;1
2318055;0;60;1;0;1;0;0;0;0;0;1;0;1
2324976;0;60;1;1;0;1;0;0;0;0;1;0;1
2329342;269;120;0;1;0;0;1;0;0;0;1;0;1
2339528;269;60;0;1;0;0;1;0;0;1;0;0;1
2342426;269;60;0;0;0;0;1;0;0;0;1;0;1
2344901;269;60;0;1;1;0;0;0;0;1;0;0;1
2358056;269;60;0;1;0;1;0;0;0;1;0;0;1
2358969;66;180;1;1;1;0;0;0;0;1;0;0;1
2364471;269;60;0;1;0;1;0;0;0;1;0;0;0
2365101;0;300;1;0;0;1;0;0;0;1;0;0;1
2367155;269;120;0;1;1;0;0;0;0;1;0;0;1
2369266;269;60;0;1;0;0;1;0;0;0;1;0;1
2376496;269;120;0;1;1;0;0;0;0;1;0;0;1
2391984;238;60;1;0;1;0;0;0;0;1;0;0;1
2411661;269;120;0;1;1;0;0;0;0;1;0;0;1
2411778;193;120;1;0;0;1;0;0;0;1;0;0;1
2412002;269;90;0;0;0;0;1;0;0;0;1;0;1
2412967;269;60;0;1;1;0;0;0;0;0;1;0;1
2429854;112;120;1;0;1;0;0;0;0;0;1;0;0
2437837;269;60;0;1;1;0;0;0;0;1;0;0;1
2449878;269;60;0;1;1;0;0;0;0;1;0;0;1
2456480;269;120;0;0;0;0;1;0;0;0;1;0;1
2457256;269;180;0;0;0;0;1;0;0;0;1;0;1
2458355;269;60;0;0;0;0;1;0;0;0;1;0;1
2460080;269;60;0;0;0;1;0;0;0;0;0;1;1
2461190;269;60;0;0;0;1;0;0;0;0;0;1;1
2469673;269;60;0;1;0;0;1;0;0;0;1;0;1
2470694;216;60;1;1;0;1;0;0;0;0;0;1;1
2479954;269;60;0;0;1;0;0;0;0;1;0;0;1
2481901;269;60;0;0;0;0;1;0;0;0;1;0;1
2482700;269;120;0;0;0;0;1;0;0;1;0;0;1
2486127;269;120;0;1;0;1;0;0;0;1;0;0;1
2498700;269;240;0;1;0;0;1;0;0;1;0;0;1
2516503;269;60;0;0;0;1;0;0;0;0;1;0;1
2518069;269;60;0;0;1;0;0;0;0;1;0;0;1
2521459;269;60;0;1;0;0;1;0;0;1;0;0;1
2523736;269;120;0;0;1;0;0;0;0;0;0;1;1
2529279;269;60;0;1;0;1;0;0;0;0;1;0;1
2532302;269;60;0;1;1;0;0;0;0;1;0;0;1
2536991;269;60;0;0;0;1;0;0;0;0;0;1;1
2542724;5;60;1;1;0;0;1;0;0;1;0;0;1
2550279;269;60;0;1;0;1;0;0;0;0;1;0;1
2551220;269;60;0;1;0;0;1;0;0;1;0;0;1
2552472;195;120;1;1;0;1;0;0;0;0;1;0;1
2555340;269;60;0;1;0;1;0;0;0;0;1;0;1
2557283;269;60;0;0;0;1;0;0;0;0;0;1;1
2559575;269;60;0;0;0;0;1;0;0;1;0;0;1
2562034;269;60;0;0;1;0;0;0;0;1;0;0;1
2566163;269;60;0;1;1;0;0;0;0;1;0;0;1
2566592;269;60;0;1;1;0;0;0;0;0;1;0;1
2569324;89;120;1;0;1;0;0;0;0;1;0;0;1
2574528;269;60;0;0;0;1;0;0;0;0;1;0;1
2574583;269;60;0;0;0;0;1;0;0;0;1;0;1
2576122;37;60;1;0;1;0;0;0;0;1;0;0;1
2578995;269;60;0;1;1;0;0;0;0;1;0;0;0
2586560;269;60;0;1;0;0;1;0;0;0;1;0;1
2594139;269;60;0;1;1;0;0;0;0;1;0;0;1
2598871;269;60;0;1;1;0;0;0;0;0;1;0;1
2599352;269;120;0;1;1;0;0;0;0;1;0;0;1
2600688;269;60;0;0;1;0;0;0;0;1;0;0;1
2606098;269;60;0;1;1;0;0;0;0;1;0;0;1
2613116;269;60;0;1;0;0;1;0;0;0;1;0;1
2617002;269;60;0;1;1;0;0;0;0;1;0;0;1
2620584;269;60;0;0;1;0;0;0;0;1;0;0;0
2639449;269;120;0;0;1;0;0;0;0;1;0;0;1
2639540;269;60;0;1;1;0;0;0;0;0;1;0;1
2639641;269;120;0;0;0;0;1;0;0;0;1;0;1
2641155;269;60;0;0;0;0;1;0;0;0;1;0;1
2643002;269;60;0;1;1;0;0;0;0;0;1;0;1
2645733;269;180;0;1;1;0;0;0;0;1;0;0;1
2649826;269;60;0;0;0;0;1;0;0;0;1;0;1
2650282;269;60;0;0;1;0;0;0;0;0;1;0;1
2664024;99;60;0;0;0;1;0;0;0;0;1;0;1
